Serial Number,Outlook,Temperature,Windy,Humidity,precipitation,temp_max,temp_min,wind
1,Sunny,Hot,FALSE,Normal,0,12.8,5,4.7
2,Overcast,Mild,TRUE,Normal,10.9,10.6,2.8,4.5
3,Rainy,Cool,FALSE,High,0.8,11.7,7.2,2.3
4,Sunny,Mild,FALSE,Normal,20.3,12.2,5.6,4.7
5,Overcast,Cool,TRUE,High,1.3,8.9,2.8,6.1
6,Rainy,Hot,TRUE,Normal,2.5,4.4,2.2,2.2
7,Sunny,Cool,FALSE,High,0,7.2,2.8,2.3
8,Overcast,Mild,TRUE,Normal,0,10,2.8,2
9,Rainy,Hot,FALSE,Normal,4.3,9.4,5,3.4
10,Sunny,Mild,FALSE,High,1,6.1,0.6,3.4
11,Sunny,Hot,FALSE,Normal,0,6.1,-1.1,5.1
12,Overcast,Mild,TRUE,Normal,0,6.1,-1.7,1.9
13,Rainy,Cool,FALSE,High,0,5,-2.8,1.3
14,Sunny,Mild,FALSE,Normal,4.1,4.4,0.6,5.3
15,Overcast,Cool,TRUE,High,5.3,1.1,-3.3,3.2
16,Rainy,Hot,TRUE,Normal,2.5,1.7,-2.8,5
17,Sunny,Cool,FALSE,High,8.1,3.3,0,5.6
18,Overcast,Mild,TRUE,Normal,19.8,0,-2.8,5
19,Rainy,Hot,FALSE,Normal,15.2,-1.1,-2.8,1.6
20,Sunny,Mild,FALSE,High,13.5,7.2,-1.1,2.3
21,Sunny,Hot,FALSE,Normal,3,8.3,3.3,8.2
22,Overcast,Mild,TRUE,Normal,6.1,6.7,2.2,4.8
23,Rainy,Cool,FALSE,High,0,8.3,1.1,3.6
24,Sunny,Mild,FALSE,Normal,8.6,10,2.2,5.1
25,Overcast,Cool,TRUE,High,8.1,8.9,4.4,5.4
26,Rainy,Hot,TRUE,Normal,4.8,8.9,1.1,4.8
27,Sunny,Cool,FALSE,High,0,6.7,-2.2,1.4
28,Overcast,Mild,TRUE,Normal,0,6.7,0.6,2.2
29,Rainy,Hot,FALSE,Normal,27.7,9.4,3.9,4.5
30,Sunny,Mild,FALSE,High,3.6,8.3,6.1,5.1
31,Sunny,Hot,FALSE,Normal,1.8,9.4,6.1,3.9
32,Overcast,Mild,TRUE,Normal,13.5,8.9,3.3,2.7
33,Rainy,Cool,FALSE,High,0,8.3,1.7,2.6
34,Sunny,Mild,FALSE,Normal,0,14.4,2.2,5.3
35,Overcast,Cool,TRUE,High,0,15.6,5,4.3
36,Rainy,Hot,TRUE,Normal,0,13.9,1.7,2.9
37,Sunny,Cool,FALSE,High,0,16.1,1.7,5
38,Overcast,Mild,TRUE,Normal,0.3,15.6,7.8,5.3
39,Rainy,Hot,FALSE,Normal,2.8,10,5,2.7
40,Sunny,Mild,FALSE,High,2.5,11.1,7.8,2.4
41,Sunny,Hot,FALSE,Normal,2.5,12.8,6.7,3
42,Overcast,Mild,TRUE,Normal,0.8,8.9,5.6,3.4
43,Rainy,Cool,FALSE,High,1,8.3,5,1.3
44,Sunny,Mild,FALSE,Normal,11.4,7.2,4.4,1.4
45,Overcast,Cool,TRUE,High,2.5,6.7,1.1,3.1
46,Rainy,Hot,TRUE,Normal,0,7.2,0.6,1.8
47,Sunny,Cool,FALSE,High,1.8,7.2,3.3,2.1
48,Overcast,Mild,TRUE,Normal,17.3,10,4.4,3.4
49,Rainy,Hot,FALSE,Normal,6.4,6.7,3.9,8.1
50,Sunny,Mild,FALSE,High,0,6.7,2.2,4.7
51,Sunny,Hot,FALSE,Normal,3,7.8,1.7,2.9
52,Overcast,Mild,TRUE,Normal,0.8,10,7.8,7.5
53,Rainy,Cool,FALSE,High,8.6,10,2.8,5.9
54,Sunny,Mild,FALSE,Normal,0,8.3,2.8,3.9
55,Overcast,Cool,TRUE,High,11.4,6.7,4.4,3.5
56,Rainy,Hot,TRUE,Normal,0,7.2,2.8,6.4
57,Sunny,Cool,FALSE,High,1.3,5,-1.1,3.4
58,Overcast,Mild,TRUE,Normal,0,6.7,-2.2,3
59,Rainy,Hot,FALSE,Normal,3.6,6.7,-0.6,4.2
60,Sunny,Mild,FALSE,High,0.8,5,1.1,7
61,Sunny,Hot,FALSE,Normal,0,6.1,1.1,3.1
62,Overcast,Mild,TRUE,Normal,2,6.7,3.9,5.1
63,Rainy,Cool,FALSE,High,0,12.2,6.7,7
64,Sunny,Mild,FALSE,Normal,0,10.6,6.7,5.6
65,Overcast,Cool,TRUE,High,6.9,7.8,1.1,6.2
66,Rainy,Hot,TRUE,Normal,0.5,6.7,0,2.7
67,Sunny,Cool,FALSE,High,0,8.9,-1.7,2.7
68,Overcast,Mild,TRUE,Normal,0,15.6,0.6,2.5
69,Rainy,Hot,FALSE,Normal,3.6,9.4,5,2.8
70,Sunny,Mild,FALSE,High,10.4,7.2,6.1,3.4
71,Sunny,Hot,FALSE,Normal,13.7,6.7,2.8,5.8
72,Overcast,Mild,TRUE,Normal,19.3,8.3,0.6,6.2
73,Rainy,Cool,FALSE,High,9.4,5.6,0.6,5.3
74,Sunny,Mild,FALSE,Normal,8.6,7.8,1.1,4.7
75,Overcast,Cool,TRUE,High,23.9,11.1,5.6,5.8
76,Rainy,Hot,TRUE,Normal,8.4,8.9,3.9,5.1
77,Sunny,Cool,FALSE,High,9.4,10,0.6,3.8
78,Overcast,Mild,TRUE,Normal,3.6,5,-0.6,2.7
79,Rainy,Hot,FALSE,Normal,2,7.2,-1.1,3
80,Sunny,Mild,FALSE,High,3.6,7.8,2.2,6.4
81,Sunny,Hot,FALSE,Normal,1.3,8.9,1.1,2.5
82,Overcast,Mild,TRUE,Normal,4.1,10,1.7,2.1
83,Rainy,Cool,FALSE,High,0,12.2,0.6,2.8
84,Sunny,Mild,FALSE,Normal,0,15,3.3,5.2
85,Overcast,Cool,TRUE,High,0,13.3,2.2,2.7
86,Rainy,Hot,TRUE,Normal,0,12.8,6.1,4.3
87,Sunny,Cool,FALSE,High,4.8,14.4,6.7,3.8
88,Overcast,Mild,TRUE,Normal,1.3,10.6,7.2,5.9
89,Rainy,Hot,FALSE,Normal,27.4,10,6.1,4.4
